COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
27055,Houston County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31133,Pawnee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39015,Brown County,Ohio,9.5,38.221915,23.4,29.5,2.761825249
51027,Buchanan County,Virginia,9,25.13486596,32,25.6,1.112529988
53013,Columbia County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12055,Highlands County,Florida,10.5,71.64173061,29.9,30.5,17.70815093
17171,Scott County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17081,Jefferson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18139,Rush County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28035,Forrest County,Mississippi,10.9,79.19902848,26.2,35.5,9.022379652
21157,Marshall County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26015,Barry County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28137,Tate County,Mississippi,10.1,23.85584712,27.9,37.7,14.07106648
31081,Hamilton County,Nebraska,9,49.39719421,22.2,29.9,2.73607659
31101,Keith County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46057,Hamlin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48399,Runnels County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49055,Wayne County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51109,Louisa County,Virginia,8.8,26.10925105,18.6,30.2,0.544256055
72151,Yabucoa Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16065,Madison County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31125,Nance County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27061,Itasca County,Minnesota,9,50.54152426,20.4,33.7,8.70401939
19007,Appanoose County,Iowa,8.8,50.78761543,23.4,38.4,5.489304891
20155,Reno County,Kansas,9.4,41.01471067,23.1,32.8,9.012606227
20047,Edwards County,Kansas,8.9,51.926243,16.4,24.6,4.835866248
21169,Metcalfe County,Kentucky,9,51.43083474,25.2,25.7,0.476170749
21123,Larue County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47021,Cheatham County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48279,Lamb County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48369,Parmer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51065,Fluvanna County,Virginia,9.6,40.04125959,18.6,29.8,3.157705463
51680,Lynchburg city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47145,Roane County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48251,Johnson County,Texas,10,65.1357547,25.2,34.7,6.040265501
29007,Audrain County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48035,Bosque County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47181,Wayne County,Tennessee,8.9,42.38293872,28.1,25.4,8.948168033
38075,Renville County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36099,Seneca County,New York,9.7,57.97566027,26.8,36,2.060899464
21029,Bullitt County,Kentucky,12.2,65.14350301,23.4,34.7,9.597419927
31041,Custer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21203,Rockcastle County,Kentucky,8.9,29.18034709,22.9,28,0.239517086
18007,Benton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40003,Alfalfa County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40059,Harper County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48341,Moore County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72101,Morovis Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40081,Lincoln County,Oklahoma,8.8,40.23867184,23.1,35.6,11.09871922
18025,Crawford County,Indiana,9.7,75.27303276,26,25.4,5.492224672
18127,Porter County,Indiana,9.8,77.04070146,21.2,31.8,7.945165084
48067,Cass County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37001,Alamance County,North Carolina,8.8,73.09618808,20.4,33.3,11.11197591
21059,Daviess County,Kentucky,10.8,76.13805661,24.3,27.8,5.62214195
21205,Rowan County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38065,Oliver County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17019,Champaign County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21065,Estill County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16075,Payette County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21083,Graves County,Kentucky,11.1,42.45305892,29,32.2,7.767903879
19179,Wapello County,Iowa,10.6,64.23859649,19.4,29.1,23.13237959
47065,Hamilton County,Tennessee,10.6,78.64876673,22.8,31.5,13.20721697
19191,Winneshiek County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19003,Adams County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17159,Richland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17169,Schuyler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17163,St. Clair County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51049,Cumberland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55105,Rock County,Wisconsin,9.3,83.5465381,19.1,33.1,12.08473129
55095,Polk County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51013,Arlington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55119,Taylor County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51093,Isle of Wight County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27099,Mower County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27103,Nicollet County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30023,Deer Lodge County,Montana,9.2,77.53280275,24.1,24,2.743624722
27117,Pipestone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48055,Caldwell County,Texas,10.2,45.10061472,18.5,30.7,6.882631417
51103,Lancaster County,Virginia,8.8,50.32042841,17.3,20.7,2.13356893
29041,Chariton County,Missouri,9,31.91163325,23.3,30.2,2.50536854
27147,Steele County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29053,Cooper County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27153,Todd County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29057,Dade County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19071,Fremont County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18021,Clay County,Indiana,11.7,63.47341019,26.3,24.2,5.555626558
51133,Northumberland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13115,Floyd County,Georgia,11.4,53.88664514,31.1,28.9,14.60484289
17027,Clinton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20057,Ford County,Kansas,10.3,67.04384306,27.4,32.5,8.255601593
13129,Gordon County,Georgia,9,48.14808104,26.3,29.4,10.47668229
18095,Madison County,Indiana,13.9,64.85383938,29,37.9,14.69691951
20135,Ness County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16063,Lincoln County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72067,Hormigueros Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42131,Wyoming County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18145,Shelby County,Indiana,11.6,45.73994059,23.8,33.6,4.856450973
42081,Lycoming County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
