COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
19057,Des Moines County,40.9232,-91.1815,Iowa,10.1,67.51394916,24,33.9,7.835496464
28103,Noxubee County,33.1102,-88.5698,Mississippi,10.2,3.395409268,21,31.3,7.217894809
37067,Forsyth County,36.1306,-80.2563,North Carolina,10.1,75.8570736,22.1,30.2,14.23260433
17199,Williamson County,37.7303,-88.9299,Illinois,9.6,67.46085568,18.1,26.9,12.31429375
28117,Prentiss County,34.6183,-88.5201,Mississippi,10.6,56.29846495,29.1,28.9,3.235479863
31185,York County,40.8727,-97.5971,Nebraska,8.9,66.16172704,23.5,39.7,5.547864121
31121,Merrick County,41.169,-98.038,Nebraska,10.7,34.50605481,27.1,37.6,10.464651
48497,Wise County,33.2159,-97.6545,Texas,9.8,32.08855514,19.1,25.4,3.213502504
36017,Chenango County,42.4935,-75.6116,New York,10.3,48.29526319,22.9,37.8,1.813318644
42125,Washington County,40.1894,-80.2483,Pennsylvania,9.4,72.18313926,19.7,35.9,9.646025596
4009,Graham County,32.9326,-109.8875,Arizona,11,45.47823751,20.4,31.9,15.74426948
29123,Madison County,37.4781,-90.345,Missouri,9,75.38033699,17.7,24.1,10.20604622
42047,Elk County,41.4251,-78.6491,Pennsylvania,9,72.4190822,16.5,25.6,4.717382847
51139,Page County,38.6194,-78.4844,Virginia,11.2,28.3254305,22.3,31.5,No Data
37107,Lenoir County,35.2388,-77.6412,North Carolina,9.2,46.67619128,23.5,27.8,13.3117603
48361,Orange County,30.1213,-93.8939,Texas,11.2,52.38950597,29,40.1,9.857181063
51590,Danville city,36.5831,-79.4088,Virginia,10.9,68.21507374,20.5,25.8,7.079543819
30035,Glacier County,48.7051,-112.9947,Montana,13.5,52.72781551,28.5,35.8,15.11312702
54029,Hancock County,40.5219,-80.5739,West Virginia,9.1,76.91680793,20,36.9,17.41805478
5101,Newton County,35.92,-93.2179,Arkansas,9.7,59.14765906,23.1,30.3,11.35471347
12051,Hendry County,26.5535,-81.1659,Florida,11.5,50.59529893,32.9,34.4,7.24965699
12005,Bay County,30.2652,-85.6203,Florida,10.7,62.23852842,27.9,29.9,10.33615307
28099,Neshoba County,32.7535,-89.1176,Mississippi,12.7,36.662623,27.4,36,2.009945343
1079,Lawrence County,34.5217,-87.311,Alabama,9.1,47.38052943,20.1,21,5.354034835
12107,Putnam County,29.6087,-81.7443,Florida,13.4,40.66080362,34.2,38,6.70266151
13095,Dougherty County,31.5335,-84.2164,Georgia,12.6,61.13995664,30,35,24.50279997
28005,Amite County,31.1744,-90.8044,Mississippi,10.6,24.04995811,31.1,30.3,6.810630327
28013,Calhoun County,33.9365,-89.3365,Mississippi,11.8,33.53829702,30,25.3,1.149333976
28023,Clarke County,32.0414,-88.6894,Mississippi,9.9,10.83552474,18.9,27.6,6.393413991
28085,Lincoln County,31.5324,-90.454,Mississippi,12.4,43.05256818,28.1,36.1,7.37239184
54067,Nicholas County,38.2917,-80.7993,West Virginia,9.1,45.82396219,25.1,34.7,3.973943503
